other than     以外
so that        以便
such as        例如
look for       寻找
as if          仿佛,似乎
as well as     以及
even if        即使
as soon as     立刻,就
as well        外带
rather than    而不是
look at        瞧
for instance   例如
come from      来自
even though    即使
in order to    为了
show up        出现,来到
in front of    面前,跟前
look like      像
build up       组成,聚积
line up        排队,列
make up        组成,构成
so far         到目前为止,至今
because of     由于,基于
back out       放弃
go back        回去
well-known     知名
side effect    副作用
of course      当然
take on        担当
